,16 17 17,17 17 17,18 17 17,
23314.8,-1469.22,-38.5071,501.454,
23314.9,-1470.05,-38.4139,501.807,
23315,-1470.87,-38.322,502.153,
23315.1,-1471.67,-38.2315,502.492,
23315.2,-1472.46,-38.1423,502.826,
23315.3,-1473.23,-38.0545,503.154,
23315.4,-1474,-37.968,503.476,
23315.5,-1474.74,-37.8828,503.792,
23315.6,-1475.48,-37.7988,504.102,
23315.7,-1476.2,-37.7161,504.407,
23315.8,-1476.91,-37.6346,504.707,
23315.9,-1477.61,-37.5544,505.001,
23316,-1478.29,-37.4753,505.29,
23316.1,-1478.96,-37.3975,505.574,
23316.2,-1479.62,-37.3207,505.852,
23316.3,-1480.27,-37.2452,506.126,
23316.4,-1480.91,-37.1707,506.394,
23316.5,-1481.53,-37.0974,506.658,
23316.6,-1482.15,-37.0252,506.918,
23316.7,-1482.75,-36.954,507.172,
23316.8,-1483.35,-36.8839,507.422,
23316.9,-1483.93,-36.8149,507.668,
23317,-1484.5,-36.7469,507.909,
23317.1,-1485.07,-36.6799,508.146,
23317.2,-1485.62,-36.6139,508.378,
23317.3,-1486.16,-36.5489,508.607,
23317.4,-1486.7,-36.4849,508.831,
23317.5,-1487.22,-36.4218,509.051,
23317.6,-1487.73,-36.3597,509.268,
23317.7,-1488.24,-36.2985,509.48,
23317.8,-1488.74,-36.2382,509.689,
23317.9,-1489.23,-36.1789,509.894,
23318,-1489.71,-36.1204,510.095,
23318.1,-1490.18,-36.0628,510.293,
23318.2,-1490.64,-36.006,510.487,
23318.3,-1491.09,-35.9502,510.678,
23318.4,-1491.54,-35.8951,510.865,
23318.5,-1491.98,-35.8409,511.049,
23318.6,-1492.41,-35.7875,511.23,
23318.7,-1492.83,-35.7349,511.407,
23318.8,-1493.25,-35.6831,511.582,
23318.9,-1493.66,-35.6321,511.753,
23319,-1494.06,-35.5818,511.921,
23319.1,-1494.46,-35.5323,512.086,
23319.2,-1494.84,-35.4835,512.248,
23319.3,-1495.22,-35.4355,512.407,
23319.4,-1495.6,-35.3882,512.564,
23319.5,-1495.97,-35.3416,512.717,
23319.6,-1496.33,-35.2957,512.868,
23319.7,-1496.68,-35.2505,513.017,
23319.8,-1497.03,-35.206,513.162,
23319.9,-1497.37,-35.1622,513.305,
23320,-1497.71,-35.119,513.445,
23320.1,-1498.04,-35.0765,513.583,
23320.2,-1498.36,-35.0346,513.719,
23320.3,-1498.68,-34.9934,513.852,
23320.4,-1499,-34.9527,513.982,
23320.5,-1499.3,-34.9127,514.11,
23320.6,-1499.61,-34.8733,514.236,
23320.7,-1499.9,-34.8345,514.36,
23320.8,-1500.19,-34.7963,514.482,
23320.9,-1500.48,-34.7587,514.601,
23321,-1500.76,-34.7216,514.718,
23321.1,-1501.04,-34.6851,514.833,
23321.2,-1501.31,-34.6491,514.946,
23321.3,-1501.58,-34.6137,515.057,
23321.4,-1501.84,-34.5788,515.166,
23321.5,-1502.1,-34.5445,515.273,
23321.6,-1502.35,-34.5107,515.378,
23321.7,-1502.6,-34.4774,515.482,
23321.8,-1502.84,-34.4446,515.583,
23321.9,-1503.08,-34.4123,515.683,
23322,-1503.32,-34.3805,515.781,
23322.1,-1503.55,-34.3491,515.877,
23322.2,-1503.78,-34.3183,515.971,
23322.3,-1504,-34.2879,516.064,
23322.4,-1504.22,-34.258,516.155,
23322.5,-1504.44,-34.2285,516.244,
23322.6,-1504.65,-34.1995,516.332,
23322.7,-1504.86,-34.1709,516.418,
23322.8,-1505.06,-34.1428,516.503,
23322.9,-1505.27,-34.1151,516.586,
23323,-1505.46,-34.0878,516.668,
23323.1,-1505.66,-34.061,516.748,
23323.2,-1505.85,-34.0345,516.827,
23323.3,-1506.03,-34.0084,516.904,
23323.4,-1506.22,-33.9828,516.98,
23323.5,-1506.4,-33.9575,517.055,
23323.6,-1506.58,-33.9326,517.128,
23323.7,-1506.75,-33.9082,517.2,
23323.8,-1506.92,-33.884,517.271,
23323.9,-1507.09,-33.8603,517.34,
23324,-1507.26,-33.8369,517.408,
23324.1,-1507.42,-33.8139,517.475,
23324.2,-1507.58,-33.7912,517.541,
23324.3,-1507.74,-33.7688,517.606,
23324.4,-1507.89,-33.7469,517.669,
23324.5,-1508.04,-33.7252,517.732,
23324.6,-1508.19,-33.7039,517.793,
23324.7,-1508.34,-33.6829,517.853,
23324.8,-1508.48,-33.6622,517.912,
23324.9,-1508.62,-33.6419,517.97,
23325,-1508.76,-33.6218,518.027,
23325.1,-1508.9,-33.6021,518.083,
23325.2,-1509.03,-33.5827,518.138,
23325.3,-1509.16,-33.5635,518.192,
23325.4,-1509.29,-33.5447,518.244,
23325.5,-1509.42,-33.5261,518.297,
23325.6,-1509.54,-33.5079,518.348,
23325.7,-1509.66,-33.4899,518.398,
23325.8,-1509.78,-33.4722,518.447,
23325.9,-1509.9,-33.4548,518.495,
23326,-1510.02,-33.4376,518.543,
23326.1,-1510.13,-33.4207,518.59,
23326.2,-1510.24,-33.4041,518.635,
23326.3,-1510.35,-33.3877,518.68,
23326.4,-1510.46,-33.3715,518.725,
23326.5,-1510.57,-33.3557,518.768,
23326.6,-1510.67,-33.34,518.811,
23326.7,-1510.78,-33.3246,518.853,
23326.8,-1510.88,-33.3095,518.894,
23326.9,-1510.98,-33.2945,518.934,
23327,-1511.07,-33.2799,518.974,
23327.1,-1511.17,-33.2654,519.013,
23327.2,-1511.26,-33.2511,519.051,
23327.3,-1511.35,-33.2371,519.089,
23327.4,-1511.45,-33.2233,519.125,
23327.5,-1511.53,-33.2097,519.162,
23327.6,-1511.62,-33.1963,519.197,
23327.7,-1511.71,-33.1832,519.232,
23327.8,-1511.79,-33.1702,519.267,
23327.9,-1511.87,-33.1574,519.3,
23328,-1511.96,-33.1448,519.333,
23328.1,-1512.04,-33.1325,519.366,
23328.2,-1512.11,-33.1203,519.398,
23328.3,-1512.19,-33.1083,519.429,
23328.4,-1512.27,-33.0965,519.46,
23328.5,-1512.34,-33.0848,519.49,
23328.6,-1512.42,-33.0734,519.52,
23328.7,-1512.49,-33.0621,519.549,
23328.8,-1512.56,-33.051,519.578,
23328.9,-1512.63,-33.0401,519.606,
23329,-1512.7,-33.0293,519.633,
23329.1,-1512.76,-33.0187,519.661,
23329.2,-1512.83,-33.0083,519.687,
23329.3,-1512.89,-32.9981,519.713,
23329.4,-1512.96,-32.988,519.739,
23329.5,-1513.02,-32.978,519.764,
23329.6,-1513.08,-32.9682,519.789,
23329.7,-1513.14,-32.9586,519.813,
23329.8,-1513.2,-32.9491,519.837,
23329.9,-1513.26,-32.9397,519.861,
23330,-1513.32,-32.9306,519.884,
23330.1,-1513.37,-32.9215,519.907,
23330.2,-1513.43,-32.9126,519.929,
23330.3,-1513.48,-32.9038,519.951,
23330.4,-1513.53,-32.8952,519.972,
23330.5,-1513.59,-32.8867,519.993,
23330.6,-1513.64,-32.8783,520.014,
23330.7,-1513.69,-32.8701,520.034,
23330.8,-1513.74,-32.8619,520.054,
23330.9,-1513.79,-32.854,520.074,
23331,-1513.83,-32.8461,520.093,
23331.1,-1513.88,-32.8384,520.112,
23331.2,-1513.93,-32.8307,520.13,
23331.3,-1513.97,-32.8233,520.149,
23331.4,-1514.02,-32.8159,520.167,
23331.5,-1514.06,-32.8086,520.184,
23331.6,-1514.1,-32.8015,520.201,
23331.7,-1514.15,-32.7944,520.218,
23331.8,-1514.19,-32.7875,520.235,
23331.9,-1514.23,-32.7807,520.251,
23332,-1514.27,-32.7739,520.267,
23332.1,-1514.31,-32.7673,520.283,
23332.2,-1514.35,-32.7608,520.299,
23332.3,-1514.39,-32.7544,520.314,
23332.4,-1514.42,-32.7481,520.329,
23332.5,-1514.46,-32.7419,520.343,
23332.6,-1514.5,-32.7358,520.358,
23332.7,-1514.53,-32.7298,520.372,
23332.8,-1514.57,-32.7239,520.386,
23332.9,-1514.6,-32.718,520.4,
23333,-1514.63,-32.7123,520.413,
23333.1,-1514.67,-32.7066,520.426,
23333.2,-1514.7,-32.7011,520.439,
23333.3,-1514.73,-32.6956,520.452,
23333.4,-1514.76,-32.6902,520.464,
23333.5,-1514.79,-32.6849,520.476,
23333.6,-1514.82,-32.6797,520.488,
23333.7,-1514.85,-32.6746,520.5,
23333.8,-1514.88,-32.6695,520.512,
23333.9,-1514.91,-32.6645,520.523,
23334,-1514.94,-32.6596,520.534,
23334.1,-1514.97,-32.6548,520.545,
23334.2,-1514.99,-32.6501,520.556,
23334.3,-1515.02,-32.6454,520.567,
23334.4,-1515.05,-32.6408,520.577,
23334.5,-1515.07,-32.6363,520.587,
23334.6,-1515.1,-32.6318,520.597,
23334.7,-1515.12,-32.6274,520.607,
23334.8,-1515.15,-32.6231,520.617,
23334.9,-1515.17,-32.6189,520.626,
23335,-1515.19,-32.6147,520.636,
