,16 17 17,16 18 17,17 17 17,17 18 17,
9961.5,1244.11,-232.134,-927.809,7.85089,
9962,1244.07,-232.117,-927.776,7.83738,
9962.5,1244.04,-232.105,-927.754,7.82793,
9963,1244.02,-232.097,-927.739,7.82133,
9963.5,1244.01,-232.091,-927.729,7.81672,
9964,1244,-232.087,-927.723,7.81352,
9964.5,1243.99,-232.084,-927.718,7.81129,
9965,1243.99,-232.083,-927.715,7.80974,
9965.5,1243.99,-232.081,-927.713,7.80867,
9966,1243.99,-232.08,-927.711,7.80792,
9966.5,1243.98,-232.08,-927.71,7.80741,
9967,1243.98,-232.079,-927.71,7.80705,
9967.5,1243.98,-232.079,-927.709,7.80681,
9968,1243.98,-232.079,-927.709,7.80664,
9968.5,1243.98,-232.079,-927.709,7.80652,
9969,1243.98,-232.079,-927.709,7.80644,
9969.5,1243.98,-232.079,-927.709,7.80638,
9970,1243.98,-232.079,-927.709,7.80634,
9970.5,1243.98,-232.079,-927.709,7.80632,
9971,1243.98,-232.078,-927.709,7.8063,
9971.5,1243.98,-232.078,-927.709,7.80629,
9972,1243.98,-232.078,-927.709,7.80628,
9972.5,1243.98,-232.078,-927.709,7.80627,
9973,1243.98,-232.078,-927.709,7.80627,
9973.5,1243.98,-232.078,-927.709,7.80627,
9974,1243.98,-232.078,-927.709,7.80627,
9974.5,1243.98,-232.078,-927.709,7.80626,
9975,1243.98,-232.078,-927.709,7.80626,
9975.5,1243.98,-232.078,-927.709,7.80626,
9976,1243.98,-232.078,-927.709,7.80626,
9976.5,1243.98,-232.078,-927.709,7.80626,
9977,1243.98,-232.078,-927.709,7.80626,
9977.5,1243.98,-232.078,-927.709,7.80626,
9978,1243.98,-232.078,-927.709,7.80626,
9978.5,1243.98,-232.078,-927.709,7.80626,
9979,1243.98,-232.078,-927.709,7.80626,
9979.5,1243.98,-232.078,-927.709,7.80626,
9980,1243.98,-232.078,-927.709,7.80626,
9980.5,1243.98,-232.078,-927.709,7.80626,
9981,1243.98,-232.078,-927.709,7.80626,
9981.5,1243.98,-232.078,-927.709,7.80626,
9982,1243.98,-232.078,-927.709,7.80626,
9982.5,1243.98,-232.078,-927.709,7.80626,
9983,1243.98,-232.078,-927.709,7.80626,
9983.5,1243.98,-232.078,-927.709,7.80626,
9984,1243.98,-232.078,-927.709,7.80626,
9984.5,1243.98,-232.078,-927.709,7.80626,
9985,1243.98,-232.078,-927.709,7.80626,
9985.5,1243.98,-232.078,-927.709,7.80626,
9986,1243.98,-232.078,-927.709,7.80626,
9986.5,1243.98,-232.078,-927.709,7.80626,
9987,1243.98,-232.078,-927.709,7.80626,
9987.5,1243.98,-232.078,-927.709,7.80626,
9988,1243.98,-232.078,-927.709,7.80626,
9988.5,1243.98,-232.078,-927.709,7.80626,
9989,1243.98,-232.078,-927.709,7.80626,
9989.5,1243.98,-232.078,-927.709,7.80626,
9990,1243.98,-232.078,-927.709,7.80626,
9990.5,1243.98,-232.078,-927.709,7.80626,
9991,1243.98,-232.078,-927.709,7.80626,
9991.5,1243.98,-232.078,-927.709,7.80626,
9992,1243.98,-232.078,-927.709,7.80626,
9992.5,1243.98,-232.078,-927.709,7.80626,
9993,1243.98,-232.078,-927.709,7.80626,
9993.5,1243.98,-232.078,-927.709,7.80626,
9994,1243.98,-232.078,-927.709,7.80626,
9994.5,1243.98,-232.078,-927.709,7.80626,
9995,1243.98,-232.078,-927.709,7.80626,
9995.5,1243.98,-232.078,-927.709,7.80626,
9996,1243.98,-232.078,-927.709,7.80626,
9996.5,1243.98,-232.078,-927.709,7.80626,
9997,1243.98,-232.078,-927.709,7.80626,
9997.5,1243.98,-232.078,-927.709,7.80626,
9998,1243.98,-232.078,-927.709,7.80626,
9998.5,1243.98,-232.078,-927.709,7.80626,
9999,1243.98,-232.078,-927.709,7.80626,
9999.5,1243.98,-232.078,-927.709,7.80626,
10000,1243.98,-232.078,-927.709,7.80626,
