,16 17 17,17 17 17,18 17 17,
14.2,-94.2289,-87.6328,-94.2289,
14.3,-94.2259,-87.6253,-94.2259,
14.4,-94.2229,-87.6179,-94.2229,
14.5,-94.2201,-87.6106,-94.2201,
14.6,-94.2173,-87.6034,-94.2173,
14.7,-94.2145,-87.5964,-94.2145,
14.8,-94.2118,-87.5895,-94.2118,
14.9,-94.2092,-87.5827,-94.2092,
15,-94.2066,-87.576,-94.2066,
15.1,-94.204,-87.5695,-94.204,
15.2,-94.2015,-87.5631,-94.2015,
15.3,-94.199,-87.5568,-94.199,
15.4,-94.1966,-87.5506,-94.1966,
15.5,-94.1943,-87.5445,-94.1943,
15.6,-94.1919,-87.5386,-94.1919,
15.7,-94.1897,-87.5327,-94.1897,
15.8,-94.1874,-87.527,-94.1874,
15.9,-94.1852,-87.5213,-94.1852,
16,-94.1831,-87.5158,-94.1831,
16.1,-94.181,-87.5103,-94.181,
16.2,-94.1789,-87.505,-94.1789,
16.3,-94.1769,-87.4997,-94.1769,
16.4,-94.1749,-87.4946,-94.1749,
16.5,-94.173,-87.4895,-94.173,
16.6,-94.1711,-87.4846,-94.1711,
16.7,-94.1692,-87.4797,-94.1692,
16.8,-94.1673,-87.4749,-94.1673,
16.9,-94.1655,-87.4702,-94.1655,
17,-94.1638,-87.4656,-94.1638,
17.1,-94.162,-87.461,-94.162,
17.2,-94.1603,-87.4566,-94.1603,
17.3,-94.1586,-87.4522,-94.1586,
17.4,-94.157,-87.4479,-94.157,
17.5,-94.1554,-87.4437,-94.1554,
17.6,-94.1538,-87.4395,-94.1538,
17.7,-94.1523,-87.4355,-94.1523,
17.8,-94.1508,-87.4315,-94.1508,
17.9,-94.1493,-87.4276,-94.1493,
18,-94.1478,-87.4237,-94.1478,
18.1,-94.1464,-87.4199,-94.1464,
18.2,-94.145,-87.4162,-94.145,
18.3,-94.1436,-87.4126,-94.1436,
18.4,-94.1422,-87.409,-94.1422,
18.5,-94.1409,-87.4055,-94.1409,
18.6,-94.1396,-87.402,-94.1396,
18.7,-94.1383,-87.3986,-94.1383,
18.8,-94.1371,-87.3953,-94.1371,
18.9,-94.1358,-87.392,-94.1358,
19,-94.1346,-87.3888,-94.1346,
19.1,-94.1335,-87.3857,-94.1335,
19.2,-94.1323,-87.3826,-94.1323,
19.3,-94.1312,-87.3795,-94.1312,
19.4,-94.13,-87.3766,-94.13,
19.5,-94.1289,-87.3736,-94.1289,
19.6,-94.1279,-87.3707,-94.1279,
19.7,-94.1268,-87.3679,-94.1268,
19.8,-94.1258,-87.3651,-94.1258,
19.9,-94.1248,-87.3624,-94.1248,
20,-94.1238,-87.3597,-94.1238,
20.1,-94.1228,-87.3571,-94.1228,
20.2,-94.1219,-87.3545,-94.1219,
20.3,-94.1209,-87.352,-94.1209,
20.4,-94.12,-87.3495,-94.12,
20.5,-94.1191,-87.3471,-94.1191,
20.6,-94.1182,-87.3447,-94.1182,
20.7,-94.1173,-87.3423,-94.1173,
20.8,-94.1165,-87.34,-94.1165,
20.9,-94.1157,-87.3377,-94.1157,
21,-94.1148,-87.3355,-94.1148,
21.1,-94.114,-87.3333,-94.114,
21.2,-94.1132,-87.3312,-94.1132,
21.3,-94.1125,-87.3291,-94.1125,
21.4,-94.1117,-87.327,-94.1117,
21.5,-94.111,-87.3249,-94.111,
21.6,-94.1102,-87.3229,-94.1102,
21.7,-94.1095,-87.321,-94.1095,
21.8,-94.1088,-87.319,-94.1088,
21.9,-94.1081,-87.3172,-94.1081,
22,-94.1075,-87.3153,-94.1075,
22.1,-94.1068,-87.3135,-94.1068,
22.2,-94.1061,-87.3117,-94.1061,
22.3,-94.1055,-87.3099,-94.1055,
22.4,-94.1049,-87.3082,-94.1049,
22.5,-94.1043,-87.3065,-94.1043,
22.6,-94.1037,-87.3048,-94.1037,
22.7,-94.1031,-87.3032,-94.1031,
22.8,-94.1025,-87.3016,-94.1025,
22.9,-94.1019,-87.3,-94.1019,
23,-94.1014,-87.2984,-94.1014,
23.1,-94.1008,-87.2969,-94.1008,
23.2,-94.1003,-87.2954,-94.1003,
23.3,-94.0998,-87.294,-94.0998,
23.4,-94.0992,-87.2925,-94.0992,
23.5,-94.0987,-87.2911,-94.0987,
23.6,-94.0982,-87.2897,-94.0982,
23.7,-94.0978,-87.2883,-94.0978,
23.8,-94.0973,-87.287,-94.0973,
23.9,-94.0968,-87.2857,-94.0968,
24,-94.0964,-87.2844,-94.0964,
24.1,-94.0959,-87.2831,-94.0959,
24.2,-94.0955,-87.2819,-94.0955,
24.3,-94.095,-87.2806,-94.095,
24.4,-94.0946,-87.2794,-94.0946,
24.5,-94.0942,-87.2783,-94.0942,
24.6,-94.0938,-87.2771,-94.0938,
24.7,-94.0934,-87.276,-94.0934,
24.8,-94.093,-87.2748,-94.093,
24.9,-94.0926,-87.2737,-94.0926,
25,-94.0922,-87.2727,-94.0922,
25.1,-94.0919,-87.2716,-94.0919,
25.2,-94.0915,-87.2706,-94.0915,
25.3,-94.0911,-87.2696,-94.0911,
25.4,-94.0908,-87.2685,-94.0908,
25.5,-94.0904,-87.2676,-94.0904,
25.6,-94.0901,-87.2666,-94.0901,
25.7,-94.0898,-87.2656,-94.0898,
25.8,-94.0895,-87.2647,-94.0895,
25.9,-94.0891,-87.2638,-94.0891,
26,-94.0888,-87.2629,-94.0888,
26.1,-94.0885,-87.262,-94.0885,
26.2,-94.0882,-87.2611,-94.0882,
26.3,-94.0879,-87.2603,-94.0879,
26.4,-94.0876,-87.2595,-94.0876,
26.5,-94.0874,-87.2586,-94.0874,
26.6,-94.0871,-87.2578,-94.0871,
26.7,-94.0868,-87.257,-94.0868,
26.8,-94.0865,-87.2563,-94.0865,
26.9,-94.0863,-87.2555,-94.0863,
27,-94.086,-87.2548,-94.086,
27.1,-94.0858,-87.254,-94.0858,
27.2,-94.0855,-87.2533,-94.0855,
27.3,-94.0853,-87.2526,-94.0853,
27.4,-94.085,-87.2519,-94.085,
27.5,-94.0848,-87.2512,-94.0848,
27.6,-94.0846,-87.2505,-94.0846,
27.7,-94.0844,-87.2499,-94.0844,
27.8,-94.0841,-87.2492,-94.0841,
27.9,-94.0839,-87.2486,-94.0839,
28,-94.0837,-87.248,-94.0837,
28.1,-94.0835,-87.2473,-94.0835,
28.2,-94.0833,-87.2467,-94.0833,
28.3,-94.0831,-87.2461,-94.0831,
28.4,-94.0829,-87.2456,-94.0829,
28.5,-94.0827,-87.245,-94.0827,
28.6,-94.0825,-87.2444,-94.0825,
28.7,-94.0823,-87.2439,-94.0823,
28.8,-94.0822,-87.2433,-94.0822,
28.9,-94.082,-87.2428,-94.082,
29,-94.0818,-87.2423,-94.0818,
29.1,-94.0816,-87.2418,-94.0816,
29.2,-94.0815,-87.2413,-94.0815,
29.3,-94.0813,-87.2408,-94.0813,
29.4,-94.0811,-87.2403,-94.0811,
29.5,-94.081,-87.2398,-94.081,
29.6,-94.0808,-87.2393,-94.0808,
29.7,-94.0807,-87.2389,-94.0807,
29.8,-94.0805,-87.2384,-94.0805,
29.9,-94.0804,-87.238,-94.0804,
30,-94.0802,-87.2376,-94.0802,
30.1,-94.0801,-87.2371,-94.0801,
30.2,-94.08,-87.2367,-94.08,
30.3,-94.0798,-87.2363,-94.0798,
30.4,-94.0797,-87.2359,-94.0797,
30.5,-94.0796,-87.2355,-94.0796,
30.6,-94.0794,-87.2351,-94.0794,
30.7,-94.0793,-87.2347,-94.0793,
30.8,-94.0792,-87.2343,-94.0792,
30.9,-94.0791,-87.234,-94.0791,
31,-94.079,-87.2336,-94.079,
31.1,-94.0788,-87.2333,-94.0788,
31.2,-94.0787,-87.2329,-94.0787,
31.3,-94.0786,-87.2326,-94.0786,
31.4,-94.0785,-87.2322,-94.0785,
31.5,-94.0784,-87.2319,-94.0784,
31.6,-94.0783,-87.2316,-94.0783,
31.7,-94.0782,-87.2313,-94.0782,
31.8,-94.0781,-87.2309,-94.0781,
31.9,-94.078,-87.2306,-94.078,
32,-94.0779,-87.2303,-94.0779,
32.1,-94.0778,-87.23,-94.0778,
32.2,-94.0777,-87.2297,-94.0777,
32.3,-94.0776,-87.2294,-94.0776,
32.4,-94.0775,-87.2292,-94.0775,
32.5,-94.0774,-87.2289,-94.0774,
32.6,-94.0774,-87.2286,-94.0774,
32.7,-94.0773,-87.2284,-94.0773,
32.8,-94.0772,-87.2281,-94.0772,
32.9,-94.0771,-87.2278,-94.0771,
33,-94.077,-87.2276,-94.077,
33.1,-94.0769,-87.2273,-94.0769,
33.2,-94.0769,-87.2271,-94.0769,
33.3,-94.0768,-87.2269,-94.0768,
33.4,-94.0767,-87.2266,-94.0767,
33.5,-94.0767,-87.2264,-94.0767,
33.6,-94.0766,-87.2262,-94.0766,
33.7,-94.0765,-87.2259,-94.0765,
33.8,-94.0764,-87.2257,-94.0764,
33.9,-94.0764,-87.2255,-94.0764,
34,-94.0763,-87.2253,-94.0763,
34.1,-94.0762,-87.2251,-94.0762,
34.2,-94.0762,-87.2249,-94.0762,
34.3,-94.0761,-87.2247,-94.0761,
34.4,-94.0761,-87.2245,-94.0761,
34.5,-94.076,-87.2243,-94.076,
34.6,-94.0759,-87.2241,-94.0759,
34.7,-94.0759,-87.2239,-94.0759,
34.8,-94.0758,-87.2237,-94.0758,
34.9,-94.0758,-87.2236,-94.0758,
35,-94.0757,-87.2234,-94.0757,
35.1,-94.0757,-87.2232,-94.0757,
35.2,-94.0756,-87.223,-94.0756,
35.3,-94.0756,-87.2229,-94.0756,
35.4,-94.0755,-87.2227,-94.0755,
35.5,-94.0755,-87.2225,-94.0755,
35.6,-94.0754,-87.2224,-94.0754,
35.7,-94.0754,-87.2222,-94.0754,
35.8,-94.0753,-87.2221,-94.0753,
35.9,-94.0753,-87.2219,-94.0753,
36,-94.0752,-87.2218,-94.0752,
36.1,-94.0752,-87.2216,-94.0752,
36.2,-94.0752,-87.2215,-94.0752,
36.3,-94.0751,-87.2214,-94.0751,
36.4,-94.0751,-87.2212,-94.0751,
36.5,-94.075,-87.2211,-94.075,
36.6,-94.075,-87.221,-94.075,
36.7,-94.075,-87.2208,-94.075,
36.8,-94.0749,-87.2207,-94.0749,
36.9,-94.0749,-87.2206,-94.0749,
37,-94.0748,-87.2205,-94.0748,
37.1,-94.0748,-87.2203,-94.0748,
37.2,-94.0748,-87.2202,-94.0748,
37.3,-94.0747,-87.2201,-94.0747,
37.4,-94.0747,-87.22,-94.0747,
37.5,-94.0747,-87.2199,-94.0747,
37.6,-94.0746,-87.2198,-94.0746,
37.7,-94.0746,-87.2197,-94.0746,
37.8,-94.0746,-87.2196,-94.0746,
37.9,-94.0745,-87.2195,-94.0745,
38,-94.0745,-87.2193,-94.0745,
38.1,-94.0745,-87.2192,-94.0745,
38.2,-94.0745,-87.2192,-94.0745,
38.3,-94.0744,-87.2191,-94.0744,
38.4,-94.0744,-87.219,-94.0744,
38.5,-94.0744,-87.2189,-94.0744,
38.6,-94.0743,-87.2188,-94.0743,
